,Report date,State,County,Facility,Facility type,Functionality,OPD,EPI,ANC,PNC,SBA,BEmONC,CEmONC,FP,PMTCT,ART,TB,BHI,Inpatient - Paeds,Inpatient - Adult,Basic surgery,MHPSS,SGBV,NCD,Nut. OTP,Nut. TSFP,Nut. SC,Laboratory,Disability,# Clinical staff,Essential meds stockout,FP stockout,Vaccine stockout,Ambulance access,# Inpatient beds - adult,# Inpatient beds - paeds,Electricity,Latrine,Dedicated mobile phone,EPI refrigerator,Protected water source
942,31/12/2020,Western Equatoria,Nzara,Sangua Two Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,2,,No Stockout,No Stockout,Available,0,0,Available,Available,,Available,Available
943,31/12/2020,Western Equatoria,Nzara,Yabuwa Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,2,,No Stockout,No Stockout,Available,0,0,Available,Available,,Available,Available
944,31/12/2019,Unity,Panyijiar,Burjoth,PHCU,Moderate,Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,No Stockout,Recent Stockout,,Not Available,,,,Not Available,Not Available,Not Available,Available
945,31/12/2020,Unity,Panyijiar,Chuk Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Available,Available
946,31/12/2019,Unity,Panyijiar,Dhorchangwieu,PHCU,Moderate,Available,Not Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,No Stockout,Recent Stockout,,Not Available,,,,Not Available,Not Available,Not Available,Available
947,31/03/2020,Unity,Panyijiar,Duong Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,16,,Recent Stockout,Recent Stockout,Available,0,5,Available,Available,,Available,Not Available
948,31/12/2020,Unity,Panyijiar,Ganyiel Phcc,PHCC,Moderate,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,16,,No Stockout,No Stockout,Available,2,1,Available,Available,,Available,Available
949,31/12/2020,Unity,Panyijiar,Jany Low Phcu,PHCU,Moderate,Available,Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
950,31/12/2020,Unity,Panyijiar,Kol Phcu,PHCU,Highly Functional,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
951,31/12/2020,Unity,Panyijiar,Laidit Phcu,PHCU,Moderate,Available,Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,4,,No Stockout,No Stockout,Available,0,0,Not Available,Available,,Not Available,Available
